               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11052,            0.028056,                   0,            0.015543,            0.042553,            0.014238,           0.0028358,            0.089756,            0.017129,                   0,              0.0802,              0.0022,              0.0022
                   1,            0.088821,            0.023513,                   0,            0.002695,             0.80851,            0.012736,           0.0033685,               0.069,            0.012834,                   0,             0.05947,           0.0044703,           0.0044703
                   2,            0.078278,            0.020569,                   0,           0.0030496,             0.91489,            0.049075,             0.01014,            0.080411,           0.0096479,                   0,             0.03871,           0.0067102,           0.0067102
                   3,            0.075139,            0.017984,                   0,           0.0031915,             0.95745,             0.12231,            0.031997,            0.068693,           0.0094573,                   0,             0.01792,           0.0089198,           0.0089198
                   4,            0.068526,            0.018547,                   0,             0.11961,             0.78723,              0.4595,             0.17992,              0.0714,           0.0084116,                   0,            0.009736,            0.009736,            0.009736
                   5,            0.063033,            0.018507,                   0,             0.35789,             0.74468,             0.45621,             0.14854,            0.062257,           0.0076478,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.058915,            0.018415,                   0,              0.7469,              0.7234,             0.75253,             0.22368,            0.049827,           0.0083802,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.054764,            0.016491,                   0,             0.53906,              0.7234,             0.60086,             0.18004,            0.054335,           0.0074101,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.050291,            0.016896,                   0,             0.54472,             0.70213,             0.64104,             0.33724,            0.045833,           0.0078774,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.050551,            0.015819,                   0,             0.87909,             0.76596,             0.87174,             0.47485,            0.038329,           0.0072588,                   0,            0.009472,            0.009472,            0.009472
                  10,             0.04597,            0.014945,                   0,             0.56117,             0.76596,             0.69757,             0.29754,            0.046675,           0.0064103,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.046073,             0.01353,                   0,             0.86107,             0.79129,             0.89562,              0.4482,             0.03704,           0.0064465,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.043997,            0.013822,                   0,             0.90459,             0.80695,             0.93627,             0.47685,            0.038941,            0.006116,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.042262,             0.01276,                   0,             0.84071,             0.80851,             0.86098,             0.46108,            0.033104,           0.0057335,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.037882,            0.010986,                   0,             0.90445,             0.80567,             0.90098,             0.50547,            0.034647,           0.0056053,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.040975,            0.011224,                   0,             0.85421,              0.7234,             0.87161,             0.47318,            0.035576,           0.0055219,                   0,            0.009076,            0.009076,            0.009076
                  16,             0.03775,            0.011262,                   0,             0.93402,             0.89362,             0.97001,             0.50129,             0.03902,           0.0050418,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.037966,            0.011342,                   0,             0.93177,             0.95745,              0.9874,             0.56029,            0.029857,           0.0047966,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.038539,            0.010638,                   0,             0.96986,             0.91489,             0.98837,             0.51624,            0.031674,           0.0047984,                   0,            0.008878,            0.008878,            0.008878
                  19,             0.03772,           0.0091834,                   0,             0.88976,             0.95745,             0.96279,             0.59569,             0.02924,            0.004717,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.036488,           0.0095981,                   0,              0.9573,             0.95404,             0.98682,             0.54388,            0.030014,           0.0045311,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.036432,           0.0093384,                   0,             0.87331,             0.85106,             0.91924,             0.53807,            0.027788,           0.0044498,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.035555,           0.0091278,                   0,             0.93434,             0.90841,               0.971,             0.62728,             0.02825,           0.0043013,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.033764,           0.0090383,                   0,             0.97823,             0.95625,             0.99031,             0.60372,            0.026417,           0.0043252,                   0,            0.008548,            0.008548,            0.008548
                  24,             0.03416,            0.008754,                   0,             0.97871,             0.97794,             0.99014,             0.63747,            0.025721,           0.0041972,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.034086,           0.0083473,                   0,             0.95866,             0.98702,             0.99054,             0.60363,            0.027248,            0.004069,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.033217,           0.0080465,                   0,             0.95909,             0.99768,              0.9875,              0.6213,            0.025868,           0.0039757,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.030153,           0.0078299,                   0,             0.95421,                   1,              0.9925,             0.69328,            0.024105,            0.003922,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.029749,           0.0078931,                   0,             0.95733,             0.95483,             0.98471,             0.63125,            0.028694,           0.0039144,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.030082,           0.0072657,                   0,             0.98773,             0.97872,              0.9938,             0.70285,            0.022702,           0.0037106,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.031864,           0.0078257,                   0,             0.99474,             0.97872,             0.99418,             0.66433,             0.02598,           0.0037328,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.029497,           0.0071137,                   0,             0.93506,             0.97872,             0.97471,             0.49171,            0.029528,           0.0038319,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.031374,           0.0074578,                   0,             0.97402,                   1,             0.99417,             0.56312,            0.023011,            0.003845,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.030506,           0.0080046,                   0,             0.97909,             0.99616,             0.99458,             0.57608,            0.024935,           0.0037524,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.030363,            0.007308,                   0,             0.97908,             0.99595,             0.99417,             0.71107,            0.022051,           0.0037109,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.028503,           0.0070478,                   0,             0.97255,                   1,             0.99417,             0.65775,            0.024866,           0.0037307,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.029267,           0.0075698,                   0,                   1,             0.99739,               0.995,             0.63917,            0.024518,           0.0037265,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.028903,           0.0068287,                   0,              0.9947,                   1,               0.995,             0.71076,            0.024455,           0.0036558,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.030091,            0.007168,                   0,             0.99773,                   1,               0.995,             0.68058,            0.021922,           0.0035061,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.028481,           0.0067315,                   0,              0.9994,                   1,               0.995,             0.72208,            0.019962,            0.003431,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.028516,           0.0068391,                   0,             0.99582,                   1,               0.995,             0.74222,            0.021472,           0.0033329,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.026604,           0.0069108,                   0,             0.99592,                   1,               0.995,             0.70183,            0.020473,           0.0034208,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.027509,           0.0068527,                   0,             0.99221,                   1,               0.995,             0.67352,            0.025628,           0.0034075,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.027377,           0.0067682,                   0,             0.99895,                   1,               0.995,             0.62006,            0.022582,           0.0033643,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.026766,           0.0065411,                   0,             0.99842,                   1,               0.995,             0.70961,            0.019177,           0.0033603,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.028182,           0.0073195,                   0,             0.98171,                   1,               0.995,             0.67602,            0.021323,            0.003368,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.026285,           0.0066195,                   0,             0.99039,                   1,               0.995,             0.75851,            0.017675,           0.0033293,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.027371,           0.0070144,                   0,             0.99676,                   1,               0.995,             0.67575,            0.025161,           0.0034402,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.028816,           0.0068893,                   0,             0.99828,                   1,               0.995,             0.77569,            0.018327,           0.0033973,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.026126,           0.0071526,                   0,                   1,             0.99214,               0.995,             0.77849,            0.019042,           0.0032657,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.027828,           0.0064506,                   0,                   1,              0.9977,               0.995,             0.75335,            0.019044,           0.0033349,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.026411,           0.0067005,                   0,                   1,             0.99525,               0.995,             0.77598,            0.018643,           0.0032848,                   0,              0.0067,              0.0067,              0.0067
                  52,             0.02567,           0.0060582,                   0,             0.99998,                   1,               0.995,             0.74015,            0.018164,            0.003255,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.024573,           0.0067684,                   0,             0.99445,                   1,               0.995,             0.78646,            0.017719,           0.0032313,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.024555,           0.0060934,                   0,              0.9923,                   1,               0.995,             0.77369,            0.018854,           0.0032963,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.026043,           0.0061275,                   0,                   1,             0.99967,               0.995,              0.7364,            0.021637,           0.0032708,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.026382,           0.0063981,                   0,             0.99721,                   1,               0.995,             0.76568,             0.01808,           0.0032504,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.026048,           0.0062172,                   0,             0.99649,                   1,               0.995,             0.73265,            0.024724,           0.0032485,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.024312,           0.0061224,                   0,             0.99645,                   1,               0.995,             0.74257,            0.019222,           0.0032347,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.023193,           0.0063673,                   0,             0.98974,                   1,               0.995,             0.68102,            0.021119,           0.0033317,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.023297,           0.0057457,                   0,                   1,             0.99283,               0.995,               0.757,            0.019747,           0.0032803,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.022481,           0.0058339,                   0,             0.97668,                   1,             0.99458,             0.81924,            0.015909,           0.0030595,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.023971,           0.0063499,                   0,             0.97859,                   1,               0.995,             0.79858,            0.015558,           0.0030176,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.023567,           0.0059707,                   0,             0.99647,                   1,               0.995,             0.72554,            0.021242,           0.0031322,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.022942,           0.0062054,                   0,              0.9975,                   1,               0.995,             0.76273,             0.01791,           0.0030115,                   0,            0.005842,            0.005842,            0.005842
                  65,             0.02229,           0.0057785,                   0,             0.99682,                   1,               0.995,             0.81975,            0.015486,           0.0030711,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.024063,           0.0063795,                   0,             0.99704,                   1,               0.995,             0.76805,            0.018105,           0.0030366,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.021713,           0.0059481,                   0,             0.99725,                   1,               0.995,             0.79027,            0.015586,           0.0029772,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.023433,           0.0062551,                   0,             0.99634,                   1,               0.995,             0.75134,             0.01895,           0.0030905,                   0,            0.005578,            0.005578,            0.005578
                  69,             0.02216,           0.0058193,                   0,             0.99791,                   1,               0.995,             0.80392,            0.016108,           0.0030293,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.021276,           0.0057116,                   0,             0.99755,                   1,               0.995,             0.71801,            0.019897,           0.0031953,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.021843,           0.0057376,                   0,             0.99774,                   1,               0.995,             0.81671,             0.01612,           0.0029509,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.021329,           0.0054896,                   0,             0.99805,                   1,               0.995,             0.80853,            0.016079,           0.0028768,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.020803,           0.0055553,                   0,             0.99782,                   1,               0.995,             0.79432,            0.016605,           0.0028973,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.021241,           0.0059428,                   0,             0.99614,                   1,               0.995,             0.78088,            0.017829,           0.0029442,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.021398,           0.0060947,                   0,             0.99785,                   1,               0.995,             0.82941,            0.014621,             0.00291,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.021462,           0.0057802,                   0,             0.99683,                   1,               0.995,             0.78889,             0.01624,           0.0029546,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.020004,            0.005633,                   0,             0.99609,                   1,               0.995,             0.80497,            0.016237,           0.0029599,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.019744,           0.0056886,                   0,              0.9937,                   1,               0.995,             0.82713,            0.015688,           0.0029172,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.020796,           0.0054605,                   0,             0.99545,                   1,               0.995,             0.78654,            0.017287,           0.0029206,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.020276,           0.0053418,                   0,             0.99388,                   1,               0.995,             0.81982,            0.013967,            0.002881,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.021601,           0.0057051,                   0,             0.99336,                   1,               0.995,             0.84446,              0.0139,           0.0028791,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.019809,           0.0054152,                   0,             0.99554,                   1,               0.995,              0.8407,            0.014102,            0.002859,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.020747,           0.0058757,                   0,             0.99662,                   1,               0.995,             0.79174,             0.01587,           0.0029081,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.019147,           0.0052348,                   0,              0.9955,                   1,               0.995,             0.84869,            0.013482,           0.0028232,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.020189,           0.0052843,                   0,             0.99755,                   1,               0.995,             0.82684,            0.013702,           0.0027893,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.020275,           0.0057355,                   0,             0.99814,                   1,               0.995,             0.81337,            0.015355,           0.0028147,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.019387,           0.0058755,                   0,             0.99807,                   1,               0.995,             0.83407,            0.014322,           0.0028368,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.018813,           0.0048705,                   0,             0.99788,                   1,               0.995,             0.84412,            0.012564,           0.0027369,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.019174,           0.0054658,                   0,             0.99736,                   1,               0.995,             0.81324,            0.015243,           0.0027667,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.019078,           0.0054144,                   0,             0.99628,                   1,               0.995,              0.8043,            0.017383,           0.0028938,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.018853,           0.0050128,                   0,             0.99706,                   1,               0.995,             0.80875,            0.014346,           0.0028849,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.018016,           0.0051384,                   0,             0.99656,                   1,               0.995,             0.84876,            0.012786,           0.0028552,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.018117,           0.0055542,                   0,             0.99754,                   1,               0.995,             0.84764,            0.013122,           0.0028909,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.018345,           0.0058693,                   0,             0.99768,                   1,               0.995,              0.8656,            0.012808,           0.0027722,                   0,            0.003862,            0.003862,            0.003862
